,-204.96,0
66,15.15,-204.98,0
77,90.91,-204.16,0
89,83.33,-203.68,0
100,90.91,-203.78,0
111,90.91,-203.67,0
123,83.33,-203.84,0
135,83.33,-204.79,0
146,90.91,-206.31,0
157,90.91,-206.44,0
168,90.91,-205.62,0
181,83.33,-205.72,0
192,83.33,-205.40,0
203,90.91,-205.52,0
215,83.33,-204.69,0
226,90.91,-203.75,0
237,90.91,-203.51,0
249,83.33,-203.04,0
261,83.33,-203.74,0
272,90.91,-204.83,0
283,90.91,-205.56,0
294,90.91,-206.07,0
306,83.33,-206.41,0
318,83.33,-206.69,0
329,90.91,-206.15,0
340,90.91,-205.92,0
352,83.33,-205.77,0
363,90.91,-204.47,0
374,90.91,-203.52,0
387,76.92,-203.55,0
398,90.91,-204.25,0
409,90.91,-204.34,0
420,90.91,-204.78,0
432,83.33,-205.46,0
444,90.91,-205.97,0
455,90.91,-206.45,0
466,90.91,-206.25,0
478,83.33,-206.03,0
489,90.91,-205.32,0
500,90.91,-204.19,0
513,76.92,-203.46,0
524,90.91,-204.15,0
535,90.91,-204.23,0
546,90.91,-204.16,0
558,83.33,-204.81,0
569,90.91,-205.45,0
581,83.33,-206.02,0
592,90.91,-206.19,0
604,83.33,-206.23,0
615,90.91,-206.10,0
626,90.91,-205.46,0
638,90.91,-204.85,0
650,76.92,-204.52,0
661,90.91,-204.50,0
672,90.91,-204.34,0
684,83.33,-204.69,0
695,90.91,-204.98,0
707,83.33,-205.15,0
718,90.91,-205.12,0
730,83.33,-205.79,0
741,90.91,-205.93,0
752,90.91,-206.41,0
763,90.91,-206.54,0
776,76.92,-206.06,0
787,90.91,-204.94,0
798,90.91,-204.28,0
809,90.91,-204.38,0
821,83.33,-203.86,0
832,90.91,-204.24,0
844,83.33,-205.41,0
856,83.33,-205.07,0
867,90.91,-205.10,0
878,90.91,-206.11,0
889,90.91,-206.35,0
902,83.33,-206.60,0
913,83.33,-206.31,0
924,90.91,-206.16,0
935,90.91,-205.50,0
947,83.33,-204.80,0
958,90.91,-203.88,0
970,83.33,-203.75,0
982,83.33,-204.37,0
993,90.91,-205.03,0
1004,90.91,-205.43,0
1015,90.91,-205.75,0
1027,83.33,-206.36,0
1039,83.33,-206.38,0
1050,90.91,-206.24,0
1061,90.91,-206.28,0
1073,83.33,-205.99,0
1084,90.91,-204.63,0
1095,90.91,-204.38,0
1107,83.33,-204.18,0
1119,83.33,-204.14,0
1130,90.91,-204.03,0
1141,90.91,-204.77,0
1153,83.33,-205.50,0
1165,90.91,-206.13,0
1176,83.33,-206.46,0
1187,90.91,-205.96,0
1199,83.33,-206.28,0
1210,90.91,-206.09,0
1221,90.91,-205.33,0
1233,83.33,-204.17,0
1245,83.33,-203.79,0
1256,90.91,-203.27,0
1267,90.91,-204.14,0
1278,90.91,-204.77,0
1290,83.33,-205.24,0
1302,83.33,-206.18,0
1313,90.91,-206.06,0
1325,83.33,-206.53,0
1336,90.91,-206.55,0
1347,90.91,-206.01,0
1358,90.91,-204.77,0
1371,76.92,-204.35,0
1382,90.91,-204.25,0
1393,90.91,-203.88,0
1404,90.91,-204.03,0
1416,83.33,-203.92,0
1428,83.33,-204.28,0
1439,90.91,-205.34,0
1451,83.33,-205.76,0
1462,90.91,-206.17,0
1473,90.91,-206.28,0
1484,90.91,-206.40,0
1497,76.92,-205.19,0
1508,90.91,-204.48,0
1519,90.91,-204.43,0
1530,90.91,-203.92,0
1542,83.33,-204.00,0
1553,90.91,-204.06,0
1565,83.33,-204.69,0
1576,90.91,-205.14,0
1588,83.33,-205.38,0
1599,90.91,-205.54,0
1610,90.91,-206.77,0
1623,83.33,-206.13,0
1634,83.33,-205.50,0
1645,90.91,-205.41,0
1656,90.91,-204.35,0
1668,83.33,-203.62,0
1679,90.91,-203.62,0
1691,83.33,-203.86,0
1702,90.91,-204.43,0
1714,83.33,-205.30,0
1725,90.91,-205.87,0
1736,90.91,-205.91,0
1747,90.91,-206.68,0
1760,76.92,-206.45,0
1771,90.91,-205.42,0
1782,90.91,-205.02,0
1794,83.33,-204.25,0
1805,90.91,-204.21,0
1816,90.91,-204.33,0
1828,83.33,-204.59,0
1840,83.33,-205.01,0
1851,90.91,-205.12,0
1862,90.91,-205.60,0
1873,90.91,-206.45,0
1886,83.33,-206.16,0
1897,83.33,-206.01,0
1908,90.91,-205.38,0
1920,83.33,-204.66,0
1931,90.91,-204.38,0
1942,90.91,-204.59,0
1954,83.33,-204.64,0
1966,83.33,-204.31,0
1977,90.91,-204.84,0
1988,90.91,-205.69,0
1999,90.91,-205.81,0
2011,83.33,-205.98,0
