91,613.59,0
66,15.15,463.29,0
77,90.91,458.72,0
89,83.33,585.29,0
100,90.91,726.50,0
111,90.91,730.00,0
123,83.33,592.06,0
135,83.33,462.49,0
146,90.91,459.45,0
157,90.91,587.57,0
168,90.91,727.94,0
180,83.33,728.17,0
192,83.33,589.05,0
203,90.91,458.06,0
215,83.33,458.20,0
226,90.91,586.72,0
237,90.91,724.27,0
248,90.91,724.11,0
261,76.92,585.08,0
272,90.91,458.24,0
283,90.91,462.08,0
294,90.91,592.85,0
306,83.33,727.16,0
318,90.91,720.98,0
329,83.33,582.81,0
340,90.91,458.40,0
352,83.33,460.64,0
363,90.91,595.61,0
374,90.91,732.05,0
387,76.92,721.91,0
398,90.91,579.52,0
409,90.91,458.22,0
420,90.91,465.87,0
432,83.33,599.18,0
443,90.91,732.80,0
455,83.33,718.17,0
466,90.91,577.35,0
478,83.33,460.11,0
489,90.91,472.11,0
500,90.91,603.44,0
512,83.33,735.61,0
524,83.33,721.57,0
535,90.91,574.08,0
546,90.91,456.21,0
558,83.33,471.65,0
569,90.91,607.30,0
580,90.91,734.36,0
592,83.33,718.12,0
604,83.33,571.35,0
615,90.91,454.71,0
626,90.91,472.10,0
637,90.91,610.83,0
649,83.33,733.94,0
661,83.33,714.99,0
672,90.91,571.13,0
684,83.33,454.46,0
695,90.91,471.42,0
706,90.91,609.19,0
718,90.91,733.70,0
730,76.92,713.36,0
741,90.91,571.02,0
752,90.91,457.21,0
763,90.91,474.32,0
775,83.33,612.23,0
787,83.33,737.23,0
798,90.91,708.49,0
809,90.91,561.31,0
821,83.33,449.82,0
832,90.91,474.34,0
843,90.91,611.37,0
856,76.92,733.92,0
867,90.91,705.65,0
878,90.91,562.60,0
889,90.91,454.37,0
901,83.33,479.34,0
912,90.91,619.87,0
924,83.33,738.36,0
935,90.91,707.01,0
947,83.33,559.06,0
958,90.91,451.64,0
969,90.91,478.43,0
980,90.91,622.85,0
993,76.92,742.58,0
1004,90.91,707.12,0
1015,90.91,559.76,0
1027,83.33,453.01,0
1038,90.91,481.65,0
1050,90.91,622.80,0
1061,83.33,740.11,0
1073,83.33,705.45,0
1084,90.91,555.02,0
1095,90.91,450.58,0
1106,90.91,483.17,0
1119,76.92,623.97,0
1130,90.91,742.52,0
1141,90.91,704.34,0
1153,83.33,553.90,0
1164,90.91,448.06,0
1175,90.91,480.89,0
1187,83.33,623.15,0
1199,83.33,740.26,0
1210,90.91,708.17,0
1221,90.91,553.72,0
1232,90.91,446.52,0
1244,83.33,483.44,0
1256,83.33,626.84,0
1267,90.91,741.62,0
1278,90.91,699.69,0
1290,83.33,551.84,0
1301,90.91,447.50,0
1312,90.91,483.26,0
1325,76.92,629.78,0
1336,90.91,741.74,0
1347,90.91,699.40,0
1358,90.91,552.15,0
1370,83.33,449.08,0
1381,90.91,485.32,0
1393,83.33,632.71,0
1404,90.91,745.69,0
1416,83.33,700.06,0
1427,90.91,547.58,0
1438,90.91,447.89,0
1451,90.91,486.66,0
1462,76.92,631.28,0
1473,90.91,742.27,0
1484,90.91,697.14,0
1496,83.33,545.52,0
1507,90.91,446.00,0
1519,83.33,485.31,0
1530,90.91,632.12,0
1542,83.33,740.80,0
1553,90.91,694.37,0
1564,90.91,545.08,0
1575,90.91,447.69,0
1588,76.92,491.29,0
1599,90.91,636.53,0
1610,90.91,741.24,0
1622,83.33,693.08,0
1633,90.91,541.87,0
1644,90.91,444.70,0
1656,83.33,491.05,0
1668,83.33,640.63,0
1679,90.91,742.71,0
1690,90.91,690.97,0
1701,90.91,539.99,0
1713,83.33,444.75,0
1725,83.33,494.04,0
1736,90.91,640.33,0
1747,90.91,742.68,0
1759,83.33,691.65,0
1770,90.91,542.96,0
1781,90.91,448.68,0
1794,76.92,493.29,0
1805,90.91,639.72,0
1816,90.91,745.41,0
1827,90.91,694.26,0
1839,83.33,539.67,0
1851,90.91,444.81,0
1862,83.33,491.46,0
1873,90.91,638.80,0
1885,83.33,743.93,0
1896,90.91,689.71,0
1907,90.91,535.94,0
1920,76.92,446.83,0
1931,90.91,493.67,0
1942,90.91,641.00,0
1953,90.91,744.02,0
1965,83.33,689.61,0
1976,90.91,540.15,0
1988,83.33,446.27,0
1999,90.91,493.82,0
2011,83.33,644.45,0
2022,90.91,746.16,0
2033,90.91,686.85,0
2044,90.91,535.89,0
2057,76.92,447.44,0
2068,90.91,497.74,0
2079,90.91,647.65,0
2091,83.33,748.03,0
2102,90.91,684.48,0
2113,90.91,531.59,0
2125,83.33,446.39,0
2137,83.33,499.00,0
2148,90.91,644.74,0
2159,90.91,743.77,0
2170,90.91,686.66,0
2183,83.33,535.62,0
2194,83.33,447.34,0
2205,90.91,499.62,0
2216,90.91,642.84,0
2228,83.33,739.68,0
2239,90.91,687.09,0
2251,83.33,536.75,0
2263,83.33,444.70,0
2274,90.91,498.00,0
2285,90.91,645.74,0
2296,90.91,742.30,0
2308,83.33,687.35,0
