;AmpDrag;PicoDrag;Voltaje;Velocidad;Re;Drag;St;CD;Espesor;Largo;Lift;CL;St Lift;St Drag;AmpLift;PicoLift;Espesores;Inercia;Masa x unidad de area;Young;Frecuencia Propia 1;Frecuencia Propia 2;Frecuencia Propia 3;Frecuencia Propia 4;Frecuencia Adimensional 1;Frecuencia Adimensional 2;Frecuencia Adimensional 3;Frecuencia Adimensional 4;Relacion de aspecto;Ca
1;0,54;7,63;22,0;1,89;6257,0;5,81;0,2;1,52;30,0;0,025;4,36;1,14;0,2;0,2;1,68;7,68;3e-05;7,875e-16;0,0152775;2950000000,0;70,25545002402545;193,6618535210414;379,65466331223035;627,588271544249;9,147845055211647;25,216387177218934;49,43420095211333;81,71722285732409;833,3333333333334;28,830508474576273
2;0,38;8,3;24,0;2,08;6862,0;6,68;0,2;1,45;30,0;0,025;5,24;1,14;0,2;0,2;1,46;8,34;3e-05;7,875e-16;0,0152775;2950000000,0;70,25545002402545;193,6618535210414;379,65466331223035;627,588271544249;8,423914870986264;23,220845745928226;45,52214188396047;75,25039227149269;833,3333333333334;34,91848264729622
3;0,41;9,06;26,0;2,26;7467,0;7,59;0,2;1,39;30,0;0,025;5,92;1,09;0,2;0,2;1,47;9,08;3e-05;7,875e-16;0,0152775;2950000000,0;70,25545002402545;193,6618535210414;379,65466331223035;627,588271544249;7,737384363879455;21,3283979648724;41,812187589452684;69,11765105112875;833,3333333333334;41,22356739305892
4;0,41;9,73;28,0;2,44;8072,0;8,11;0,2;1,27;30,0;0,025;7,01;1,1;0,39;0,2;1,3;18,83;3e-05;7,875e-16;0,0152775;2950000000,0;70,25545002402545;193,6618535210414;379,65466331223035;627,588271544249;3,7310382381319944;10,284750585291631;20,16222322422891;33,32917002359262;833,3333333333334;48,051654560129144
5;0,26;10,4;30,0;2,63;8677,0;8,32;0,2;1,13;30,0;0,025;7,96;1,08;0,36;0,2;0,99;18,79;3e-05;7,875e-16;0,0152775;2950000000,0;70,25545002402545;193,6618535210414;379,65466331223035;627,588271544249;3,7389808421514346;10,306644679140042;20,205144401928173;33,400120891125546;833,3333333333334;55,826472962066184
6;0,19;11,11;32,0;2,81;9281,0;9,37;0,2;1,11;30,0;0,025;10,03;1,19;0,2;0,2;1,24;11,16;3e-05;7,875e-16;0,0152775;2950000000,0;70,25545002402545;193,6618535210414;379,65466331223035;627,588271544249;6,295291220790811;17,3532126810969;34,01923506381993;56,23550820288969;833,3333333333334;63,72962066182407
7;0,35;23,57;34,0;2,99;9886,0;10,14;0,39;1,06;30,0;0,025;11,24;1,18;0,2;0,39;1,2;11,81;3e-05;7,875e-16;0,0152775;2950000000,0;70,25545002402545;193,6618535210414;379,65466331223035;627,588271544249;5,94881033226295;16,398124768928145;32,14688089011265;53,140412493162486;833,3333333333334;72,15577078288945
8;0,28;12,42;36,0;3,17;10491,0;11,17;0,2;1,04;30,0;0,025;12,49;1,16;0,2;0,2;0,93;12,54;3e-05;7,875e-16;0,0152775;2950000000,0;70,25545002402545;193,6618535210414;379,65466331223035;627,588271544249;5,602507976397564;15,443528988918773;30,27549149220338;50,04691160639944;833,3333333333334;81,10492332526233
9;0,28;13,14;38,0;3,36;11096,0;12,35;0,2;1,03;30,0;0,025;13,87;1,15;0,2;0,2;0,72;13,14;3e-05;7,875e-16;0,0152775;2950000000,0;70,25545002402545;193,6618535210414;379,65466331223035;627,588271544249;5,346685694370278;14,738345016822024;28,89304895831281;47,7616645010844;833,3333333333334;91,11864406779662
10;0,26;13,84;40,0;3,54;11701,0;13,14;0,2;0,98;30,0;0,025;15,35;1,15;0,2;0,2;0,69;13,84;3e-05;7,875e-16;0,0152775;2950000000,0;70,25545002402545;193,6618535210414;379,65466331223035;627,588271544249;5,076260839886232;13,992908491404725;27,431695326028205;45,345973377474635;833,3333333333334;101,14285714285717
11;0,33;14,5;42,0;3,72;12306,0;13,83;0,19;0,93;30,0;0,025;16,05;1,08;0,19;0,19;1,34;14,51;3e-05;7,875e-16;0,0152775;2950000000,0;70,25545002402545;193,6618535210414;379,65466331223035;627,588271544249;4,841864233220224;13,346785218541791;26,165035376445925;43,252120712904826;833,3333333333334;111,69007263922522
12;0,6;15,14;44,0;3,91;12911,0;15,94;0,19;0,98;30,0;0,025;17,74;1,09;0,19;0,19;1,32;15,16;3e-05;7,875e-16;0,0152775;2950000000,0;70,25545002402545;193,6618535210414;379,65466331223035;627,588271544249;4,6342645134581435;12,774528596374761;25,043183595793558;41,397643241705076;833,3333333333334;123,39063761097663
13;0,25;15,79;46,0;4,09;13516,0;17,23;0,19;0,96;30,0;0,025;19,66;1,1;0,19;0,19;2,1;15,87;3e-05;7,875e-16;0,0152775;2950000000,0;70,25545002402545;193,6618535210414;379,65466331223035;627,588271544249;4,426934469062726;12,20301534474111;23,92278911860305;39,545574766493324;833,3333333333334;135,0129136400323
14;0,22;16,47;48,0;4,27;14121,0;18,44;0,19;0,95;30,0;0,025;21,17;1,09;0,19;0,19;2,02;16,58;3e-05;7,875e-16;0,0152775;2950000000,0;70,25545002402545;193,6618535210414;379,65466331223035;627,588271544249;4,237361280098037;11,680449548916853;22,898351225104367;37,852127354900425;833,3333333333334;147,15819209039552
15;0,18;17,12;50,0;4,46;14726,0;19,47;0,19;0,92;30,0;0,025;22,67;1,07;0,19;0,19;2,88;17,24;3e-05;7,875e-16;0,0152775;2950000000,0;70,25545002402545;193,6618535210414;379,65466331223035;627,588271544249;4,075142112762498;11,233286167113771;22,021732210686217;36,40303199212581;833,3333333333334;160,54560129136405
1;0,42;7,71;22,0;1,89;6257,0;3,63;0,2;0,95;30,0;0,0375;4,97;1,3;0,8;0,2;1,76;30,29;3e-05;7,875e-16;0,0152775;2950000000,0;31,224644455122426;86,07193489824063;168,73540591654682;278,9281206863329;1,0308565353292316;2,841595737809199;5,570663780671734;9,208587675349385;1250,0;97,30296610169489
